Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;2;55;489;253,412;756,171;94,083;34,924;17,828;82,28;35,511;253;773;80,272;20;11,0025;1,871417784;;;;
1;na;2;56;120;1357,25;751,558;44,87;17,424;8,769;18,772;17,464;1349;755;23,629;9,473;2,7;0,927058085;;;;
1;na;2;57;132;1557,583;794,417;42,627;14,043;11,968;130,808;15,264;1554;788;121,608;13;2,97;0,972306722;;;;
1;na;2;58;3275;1171,665;817,996;223,38;76,935;54,2;6,356;78,918;1131;810;171,254;54,491;73,6875;4,843083701;;;;
1;na;2;59;660;1251,152;815,248;99,74;34,841;24,119;10,614;36,139;1235;821;14,421;25,47;14,85;2,174143926;;;;
1;na;2;60;250;401,672;842,2;68,87;30,074;10,584;6,618;29,833;387;845;13,57;11;5,625;1,338093087;;;;
1;na;2;61;127;1946,398;848,752;42,042;15,118;10,696;30,46;15,811;1940;853;34,695;11,185;2,8575;0,953714056;;;;
1;na;2;62;106;1400,943;921,151;37,799;12,608;10,705;80,733;13,892;1398;927;59,744;11;2,385;0,871303092;;;;
1;na;2;63;5594;1631,409;1002,277;304,191;113,763;62,608;29,145;110,941;1580;1027;33,977;60,828;125,865;6,329618774;;;;
1;na;2;64;10550;470,778;1036,17;410,718;145,865;92,09;101,868;146,986;466;961;96,642;95,485;237,375;8,692457031;;;;
1;na;2;65;653;628,381;989,65;123,012;54,99;15,12;3,975;53,759;604;994;9,638;15,445;14,6925;2,162583641;;;;
1;na;2;66;268;1080,933;994,623;59,941;20,236;16,863;7,128;20,881;1071;997;16,699;17;6,03;1,385427231;;;;
1;na;2;67;396;1027,955;1051,384;95,941;42,895;11,754;5,769;41,593;1007;1054;9,689;12,873;8,91;1,684084643;;;;
1;na;2;68;440;1554,795;1143,514;84,77;33,951;16,501;86,809;33,541;1551;1160;79,695;17;9,9;1,775181082;;;;
1;na;2;69;223;860,984;1176,235;55,355;19,29;14,72;31,366;20;853;1182;36,87;15,556;5,0175;1,263772074;;;;
1;na;2;70;2267;701,122;1212,487;236,208;75,032;38,469;89,479;78,447;693;1256;72,951;53,444;51,0075;4,029415779;;;;
1;na;2;71;112;1188,571;1252,554;38,042;13,228;10,78;91,599;13,928;1186;1246;111,038;11;2,52;0,895623198;;;;
1;na;2;72;8728;116,926;1328,563;369,931;127,265;87,32;39,909;125,877;83;1381;51,127;89,095;196,38;7,906307321;;;;
1;na;2;73;121;1583,649;1328,938;41,456;15,363;10,028;58,297;16,125;1579;1336;60,255;10,967;2,7225;0,930912813;;;;
1;na;2;74;1122;843,484;1356,661;127,539;42,469;33,638;67,9;44,385;837;1376;75,651;35,333;25,245;2,834736862;;;;
1;na;2;75;701;1599,752;1363,179;104,811;35,234;25,332;118,627;37,696;1593;1344;111,801;27,049;15,7725;2,240656752;;;;
1;na;2;76;551;37,333;1380,395;88,669;30,759;22,808;33,849;32,45;25;1391;33,69;24,156;12,3975;1,986516251;;;;
1;na;2;77;231;1517,976;1416,751;57,941;21,732;13,534;63,294;22,204;1512;1426;54,162;14,314;5,1975;1,286240892;;;;
1;na;2;78;12402;192,817;1496,424;432,132;146,419;107,846;68,465;144,267;155;1561;57,742;105,624;279,045;9,424583927;;;;
1;na;2;79;334;1813,656;1477,611;67,012;20,815;20,43;168,645;21,954;1804;1472;149,931;21;7,515;1,546641133;;;;
1;na;2;80;3707;1707,416;1576,686;227,723;72,055;65,504;57,766;73,756;1677;1598;40,601;67;83,4075;5,152614078;;;;
1;na;2;81;1151;1640,765;1583,709;159,397;66,479;22,044;83,64;66,753;1635;1620;81,384;23,547;25,8975;2,871137454;;;;
1;na;2;82;2844;1177,103;1611,936;199,924;67,434;53,699;22,554;71,197;1146;1631;29,445;55;63,99;4,513164036;;;;
1;na;2;83;4036;1280,123;1647,534;242,593;73,723;69,704;76,437;79,31;1270;1684;76,139;69,183;90,81;5,376404074;;;;
1;na;2;84;66;1647,485;1665,045;28,385;9,401;8,939;172,644;10,296;1646;1660;119,055;9;1,485;0,687524677;;;;
1;na;2;85;1370;1503;1736,209;178,51;59,713;29,212;98,389;69,584;1491;1699;97,431;31,214;30,825;3,132395607;;;;
1;na;2;86;10416;1175,395;1773,281;399,706;148,147;89,519;4,572;147,462;1104;1797;14,13;88,447;234,36;8,637077337;;;;
1;na;2;87;5159;776,986;1844,509;304,978;94,497;69,512;88,174;103,586;774;1897;83,904;71;116,0775;6,078537309;;;;
1;na;2;88;172;1651,099;1807,326;60,042;25,926;8,447;5,214;26,683;1638;1810;12,995;9;3,87;1,109891553;;;;
