Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;area_in_nm2;radius_in_nm;;;;
1;na;1;150;502;1054,827;1905,239;82,669;25,601;24,967;79,934;26,926;1046;1916;58,671;25;11,295;1,896130313;;;;
1;na;1;151;132;1978,061;1919,402;42,042;13,872;12,116;104,697;14,866;1974;1913;109,654;12;2,97;0,972306722;;;;
1;na;1;152;3829;874,93;1958,7;237,421;75,893;64,239;124,93;80,411;835;1946;158,86;63,218;86,1525;5,236715809;;;;
1;na;1;153;393;293,996;1986,775;75,255;27,605;18,127;52,637;28,425;285;1998;50,711;19,092;8,8425;1,677693407;;;;
1;na;2;1;246;1451,252;54,138;58,284;21,663;14,459;171,966;21,84;1441;51;164,055;14;5,535;1,327345177;;;;
1;na;2;2;187;675,687;73,061;50,284;17,023;13,987;168,606;17,72;667;71;163,61;14;4,2075;1,157276478;;;;
1;na;2;3;450;1197,893;140,22;79,841;29,064;19,713;23,01;29,682;1185;147;32,619;20,56;10,125;1,795240262;;;;
1;na;2;4;3178;1700,124;191,581;211,865;70,562;57,345;43,211;71,589;1681;223;61,645;57,961;71,505;4,770822614;;;;
1;na;2;5;291;696,153;192,589;75,598;27,643;13,404;88,255;29,428;691;205;80,218;15;6,5475;1,443652998;;;;
1;na;2;6;4810;754,747;241,859;263,179;86,429;70,86;140,955;87,818;732;204;120,069;71,788;108,225;5,869334497;;;;
1;na;2;7;834;1182,388;220,57;108,468;37,737;28,139;147,405;38,013;1168;208;144,638;28,586;18,765;2,443989569;;;;
1;na;2;8;151;169,308;243,613;44,284;15,704;12,243;155,866;16,155;162;240;158,199;12,527;3,3975;1,039931651;;;;
1;na;2;9;6177;1795,809;298,034;324,434;120,467;65,286;135,536;125;1747;256;143,13;66,766;138,9825;6,651278355;;;;
1;na;2;10;649;301,528;313,844;93,74;30,272;27,297;131,292;31,623;292;301;124,695;27,577;14,6025;2,155949933;;;;
1;na;2;11;535;1554,623;321,795;86,326;28,203;24,153;2,069;29,428;1541;317;170,218;25;12,0375;1,957461431;;;;
1;na;2;12;340;222,353;329,494;67,598;21,544;20,093;4,158;22,561;212;334;12,804;20;7,65;1,560471284;;;;
1;na;2;13;1794;1150,496;348,075;160,51;51,05;44,744;37,55;53,339;1137;370;59,589;43,763;40,365;3,584491394;;;;
1;na;2;14;354;775,497;374,415;69,355;23,057;19,548;5,102;23,77;764;377;14,621;19;7,965;1,59227455;;;;
1;na;2;15;52;1259,288;380,385;26,385;8,568;7,727;69,298;9,487;1259;385;71,565;8;1,17;0,610264342;;;;
1;na;2;16;734;643,474;393,86;100,569;32,543;28,717;137,021;33,838;632;381;124,16;29,523;16,515;2,29279039;;;;
1;na;2;17;246;595,069;446,52;56,527;18,34;17,078;150,711;19,416;587;441;145,491;17;5,535;1,327345177;;;;
1;na;2;18;810;987,205;456,015;106,669;36,796;28,028;11,878;37,162;970;464;23,806;27,442;18,225;2,408567557;;;;
1;na;2;19;4155;1171,597;534,191;251,12;84,475;62,626;40,769;85,071;1130;545;17,796;62,225;93,4875;5,455088953;;;;
1;na;2;20;1190;1513,148;514,929;128,953;40,163;37,725;164,782;41,785;1508;494;111,038;38,249;26,775;2,919374454;;;;
1;na;2;21;338;891,639;513,899;67,598;21,986;19,574;131,467;23,324;885;504;120,964;20,506;7,605;1,555874894;;;;
1;na;2;22;552;1406,572;519,444;90,326;30,788;22,828;136,872;32,016;1397;508;128,66;23,717;12,42;1,98831808;;;;
1;na;2;23;3818;1891,978;539,884;231,522;76,263;63,743;25,376;77,621;1856;553;21,938;65,054;85,905;5,229188347;;;;
1;na;2;24;73;431,377;530,021;30,385;10,103;9,2;113,769;10,817;429;525;123,69;9;1,6425;0,723065687;;;;
1;na;2;25;516;921,804;559,855;85,255;29,698;22,122;148,868;31,385;908;552;149,349;23,031;11,61;1,922388561;;;;
1;na;2;26;204;130,569;563,373;52,284;18,61;13,957;145,568;19,849;123;557;139,086;14,849;4,59;1,208735859;;;;
1;na;2;27;1004;1639,967;615,441;116,811;38,948;32,822;171,133;39,85;1621;608;162,474;33;22,59;2,681533205;;;;
1;na;2;28;88;875,307;654,943;34,627;12,029;9,315;136,226;13,038;873;649;122,471;10,288;1,98;0,793885114;;;;
