Sample;Tilt angle to optical axis ;Image;Particle number;Area;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm]
2;na;9;7;3525;1140,563;1622,348;227,137;78,677;57,045;116,152;78,409;1116;1593;127,747;56,211;79,3125;5,024535088
2;na;9;8;1493;398,777;1709,193;145,782;49,613;38,315;77,956;50,289;391;1733;72,646;38,279;33,5925;3,269988509
2;na;9;9;1033;710,519;1852,682;123,154;44,257;29,718;47,224;47,011;695;1871;51,911;31,82;23,2425;2,71998484
2;na;10;1;552;98,509;178,511;104,711;41,708;16,851;142,134;41,183;81;166;150,945;20,76;12,42;1,98831808
2;na;10;2;2124;1504,273;210,591;214,108;67,197;40,245;41,938;76,217;1483;230;38,073;49,147;47,79;3,900260179
2;na;10;3;913;833,809;202,731;118,61;45,334;25,642;125,887;45,277;822;184;120,53;26,637;20,5425;2,557123547
2;na;10;4;483;1294,881;439,299;89,497;32,449;18,952;44,986;35,468;1282;452;40,426;21,213;10,8675;1,859901258
2;na;10;5;755;1461,703;474,328;107,882;39,776;24,167;53,921;40;1450;491;53,13;25,478;16,9875;2,325357863
2;na;10;6;3502;1841,229;530,913;224,995;72,654;61,371;23,986;75,69;1814;556;43,394;60,283;78,795;5,008116161
2;na;10;7;472;1597,375;529,835;81,841;25,684;23,398;84,15;27,203;1595;517;107,103;24;10,62;1,83860028
