Sample;Tilt angle to optical axis;Image;;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;9;1;8865;900,444;442,384;447,588;150,969;74,766;143,698;151,013;838;400;143,889;86,256;199,4625;7,968116821;;;;
1;na;9;2;3201;1737,969;695,768;218,693;73,709;55,294;84,543;78,09;1732;657;99,583;55,912;72,0225;4,788055323;;;;
1;na;9;3;2684;377,676;840,865;212,267;78,884;43,322;85,438;77,833;364;876;69,702;46;60,39;4,384373847;;;;
1;na;9;4;5236;769,126;945,374;284,877;98,168;67,911;102,384;104,547;757;894;104,967;73,152;117,81;6,123731517;;;;
1;na;9;5;4908;863,159;934,378;281,362;102,53;60,948;154,617;101,435;812;924;170,352;59,807;110,43;5,928824566;;;;
1;na;9;6;3203;1642,863;953,154;221,037;69,392;58,77;179,585;75;1605;961;16,26;58,243;72,0675;4,789550889;;;;
1;na;9;7;3966;1162,667;1049,436;253,137;94,17;53,623;7,916;93,536;1117;1042;173,863;53,863;89,235;5,329576221;;;;
1;na;9;8;4283;1109,162;1163,872;255,664;77,187;70,65;132,924;86,035;1095;1123;109,699;69,605;96,3675;5,538477043;;;;
1;na;9;9;3938;670,744;1561,284;254,35;92,192;54,387;13,783;93,408;627;1571;15,524;59,141;88,605;5,310729466;;;;
1;na;9;10;5134;354,777;1854,595;279,463;94,88;68,895;85,507;100,285;347;1805;99,181;68,773;115,515;6,06379143;;;;
1;na;9;11;9203;1167,836;1882,482;368,09;109,225;107,279;35,989;114,004;1164;1828;103,183;108,148;207,0675;8,118597931;;;;
1;na;10;1;2707;796,454;267,801;198,208;65,689;52,47;153,125;65,765;764;263;171,254;50,563;60,9075;4,40311928;;;;
1;na;10;2;2910;354,478;445,542;204,108;66,053;56,093;59,539;66,91;351;479;80,538;54,712;65,475;4,565231626;;;;
1;na;10;3;2139;1308,883;469,084;175,196;59,895;45,471;169,691;62,626;1279;460;160,408;45;48,1275;3,914008054;;;;
1;na;10;4;6702;1121,251;524,325;360,617;133,597;63,873;66,231;140,943;1099;585;68,35;67,915;150,795;6,928169981;;;;
1;na;10;5;6124;1434,212;596,866;307,948;107,928;72,245;73,934;108,227;1430;651;86,292;71,674;137,79;6,622682177;;;;
1;na;10;6;4669;1036,995;636,558;274,149;98,157;60,564;158,547;96,628;987;636;173,463;59,445;105,0525;5,78266801;;;;
1;na;10;7;7676;463,545;775,722;342,475;116,895;83,608;26,689;121,149;408;797;19,781;87,485;172,71;7,414533056;;;;
1;na;10;8;4622;781,216;833,689;288,777;113,883;51,675;57,864;112,058;750;883;57,019;51,875;103,995;5,753489082;;;;
1;na;10;9;8006;781,903;1034,628;345,404;115,987;87,885;80,741;120,416;769;975;101,497;87,751;180,135;7,572235558;;;;
1;na;10;10;792;596,323;1001,378;107,497;39,255;25,688;89,172;39,319;593;982;97,306;25;17,82;2,381655343;;;;
1;na;10;11;3852;1393,699;1239,605;237,907;72,543;67,609;27,792;79,12;1355;1251;16,144;65,219;86,67;5,252420188;;;;
1;na;10;12;2837;1075,411;1279,453;207,865;70,861;50,976;72;71,568;1073;1316;82,776;51,031;63,8325;4,507606439;;;;
1;na;10;13;2042;1226,341;1464,533;176,468;66,055;39,36;178,035;64,327;1195;1470;11,659;37,726;45,945;3,824231651;;;;
1;na;10;14;2524;1313,063;1706,82;195,581;66,091;48,625;98,622;66,483;1302;1678;105,709;49,425;56,79;4,251684188;;;;
1;na;10;15;3914;1889,672;1835,227;238,652;76,478;65,162;13,326;77,987;1857;1860;40,84;65;88,065;5,294521709;;;;
1;na;10;16;1676;824,224;1904,41;164,811;64,517;33,076;175,773;61,814;794;1910;9,31;32,452;37,71;3,464601825;;;;
1;na;11;1;4775;994,12;76,856;266,936;93,229;65,213;75,088;92,071;990;123;81,254;65,146;107,4375;5,847941381;;;;
1;na;11;2;2986;1160,494;347,387;206,752;62,84;60,501;117,514;67,007;1133;327;142,275;59,255;67,185;4,624462099;;;;
1;na;11;3;6672;779,001;702,795;319,605;112,377;75,595;106,796;112,147;776;645;98,202;71,867;150,12;6,91264639;;;;
1;na;11;4;6198;1914,883;788,475;303,019;100,376;78,62;79,319;104,69;1903;736;96,582;77,486;139,455;6,662574966;;;;
1;na;11;5;5390;1247,871;841,628;283,421;91,979;74,613;17,358;93,392;1202;830;167,005;71,683;121,275;6,213133786;;;;
1;na;11;6;2351;1434,495;971,648;184,309;58,936;50,79;118,09;62,394;1424;943;111,631;51,545;52,8975;4,103388503;;;;
1;na;11;7;12832;478,252;1026,587;472,274;165,912;98,475;174,796;171,493;388;1023;175,653;104,438;288,72;9,586575527;;;;
